,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PRICE_Duplicate,BEDS_Duplicate,BATHS_Duplicate,SQUARE FEET_Duplicate,YEAR BUILT_Duplicate,PRICE_ESTIMATE
265,MLS Listing,,Condo/Co-op,2150 W Division St #1,Chicago,IL,60622,650000,4.0,3.0,CHI - West Town,2300.0,,1998.0,1,283.0,193.0,Active,November-14-2021 11:00 AM,November-14-2021 01:00 PM,http://www.redfin.com/IL/Chicago/2150-W-Division-St-60622/unit-1/home/12789585,MRED,11267019,N,Y,41.9032917,-87.6817369,650000,4.0,3.0,2300.0,1998.0,788249.0961916316
266,MLS Listing,,Condo/Co-op,500 W Superior St #1908,Chicago,IL,60654,647747,3.0,2.0,CHI - Near North Side,1480.0,,1974.0,1,438.0,1152.0,Active,,,http://www.redfin.com/IL/Chicago/500-W-Superior-St-60654/unit-1908/home/18944506,MRED,11267012,N,Y,41.895951,-87.642196,647747,3.0,2.0,1480.0,1974.0,398570.19946082914
267,MLS Listing,,Single Family Residential,9841 S Maryland Ave S,Chicago,IL,60628,115000,2.0,2.0,CHI - Pullman,1200.0,,1946.0,1,96.0,,Active,,,http://www.redfin.com/IL/Chicago/9841-S-Maryland-Ave-60628/home/13088501,MRED,11267008,N,Y,41.7154133,-87.6027727,115000,2.0,2.0,1200.0,1946.0,387093.5075245332
273,MLS Listing,,Single Family Residential,7212 S Green St,Chicago,IL,60621,49900,3.0,1.5,CHI - Englewood,1050.0,,1902.0,2,48.0,,Active,,,http://www.redfin.com/IL/Chicago/7212-S-Green-St-60621/home/13914706,MRED,11266999,N,Y,41.7628275,-87.6458771,49900,3.0,1.5,1050.0,1902.0,75031.07489448134
276,MLS Listing,,Condo/Co-op,21 W Goethe St Unit 6E,Chicago,IL,60610,117500,0.0,1.0,CHI - Near North Side,530.0,,1964.0,2,222.0,540.0,Active,,,http://www.redfin.com/IL/Chicago/21-W-Goethe-St-60610/unit-6E/home/14111190,MRED,11266991,N,Y,41.9054585,-87.6296264,117500,0.0,1.0,530.0,1964.0,201644.32530754525
280,MLS Listing,,Condo/Co-op,40 E Cedar St E Unit 5B,Chicago,IL,60611,219000,1.0,1.0,CHI - Near North Side,900.0,,1968.0,2,243.0,727.0,Active,,,http://www.redfin.com/IL/Chicago/40-E-Cedar-St-60611/unit-5B/home/14123736,MRED,11266984,N,Y,41.9027706,-87.6269295,219000,1.0,1.0,900.0,1968.0,214602.94446381368
281,MLS Listing,,Townhouse,8615 S Ingleside Ave,Chicago,IL,60619,140000,3.0,1.5,CHI - Chatham,1224.0,,1956.0,2,114.0,,Active,,,http://www.redfin.com/IL/Chicago/8615-S-Ingleside-Ave-60619/home/13222088,MRED,11266981,N,Y,41.7380661,-87.6009446,140000,3.0,1.5,1224.0,1956.0,191322.4474681709
282,MLS Listing,,Condo/Co-op,175 E Delaware Pl #5402,Chicago,IL,60611,382999,2.0,2.0,CHI - Near North Side,1394.0,,1970.0,2,275.0,1123.0,Active,,,http://www.redfin.com/IL/Chicago/175-E-Delaware-Pl-60611/unit-5402/home/14119378,MRED,11266977,N,Y,41.8989444,-87.6227945,382999,2.0,2.0,1394.0,1970.0,475847.1747387969
283,MLS Listing,,Single Family Residential,3010 W Cullerton St,Chicago,IL,60623,105000,2.0,2.0,CHI - South Lawndale,1344.0,2901.0,1905.0,2,78.0,,Active,,,http://www.redfin.com/IL/Chicago/3010-W-Cullerton-St-60623/home/13232343,MRED,11266975,N,Y,41.8549411,-87.7009121,105000,2.0,2.0,1344.0,1905.0,386527.2562703858
285,MLS Listing,,Condo/Co-op,401 N Wabash Ave #2030,Chicago,IL,60611,126000,0.0,1.0,Trump Tower Chicago,675.0,,2008.0,2,187.0,2383.0,Active,,,http://www.redfin.com/IL/Chicago/401-N-Wabash-Ave-60611/unit-2030/home/39549181,MRED,11266965,N,Y,41.8888012,-87.6263094,126000,0.0,1.0,675.0,2008.0,297424.05829609465
287,MLS Listing,,Single Family Residential,4516 S Prairie Ave,Chicago,IL,60653,799000,5.0,3.5,CHI - Grand Boulevard,3300.0,,2017.0,2,242.0,,Active,,,http://www.redfin.com/IL/Chicago/4516-S-Prairie-Ave-60653/home/143935404,MRED,11266961,N,Y,41.8123623,-87.6200708,799000,5.0,3.5,3300.0,2017.0,1123897.6162748109
288,MLS Listing,,Single Family Residential,8321 S Green St,Chicago,IL,60620,137000,5.0,1.5,CHI - Auburn Gresham,1050.0,3123.0,1908.0,2,130.0,,Active,,,http://www.redfin.com/IL/Chicago/8321-S-Green-St-60620/home/13229944,MRED,11249968,N,Y,41.7426672,-87.644846,137000,5.0,1.5,1050.0,1908.0,-136432.09018048784
